作家(handle)	作家名	欄	固有名詞(ja)	含まれる人名	種別	言語	現表記	人名部分	判定	判定の理由	社内の照合(本人ページのローマ字)	探索経路
itaya-hazan	板谷 波山	collection	出光美術館	出光佐三	館・施設	ko	이데미쓰 미술관	이데미쓰 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://idemitsu-museum.or.jp/en/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
kawai-kanjiro	河井 寛次郎	collection	河井寬次郎記念館	河井寬次郎	館・施設	en	Kawai Kanjirō's House (Memorial Museum)	Kawai Kanjirō's House	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
kawai-kanjiro	河井 寛次郎	collection	河井寬次郎記念館	河井寬次郎	館・施設	ko	가와이 간지로 기념관	가와이 간지로 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
kawai-kanjiro	河井 寛次郎	collection	河井寬次郎記念館	河井寬次郎	館・施設	fr	Musée mémorial Kawai Kanjirō	Kawai Kanjirō	C	★人名部分の綴りが当社の英語表記（Kawai Kanjirō's House）と食い違う（Kawai Kanjirō）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
kawai-kanjiro	河井 寛次郎	collection	河井寬次郎記念館	河井寬次郎	館・施設	es	Museo Conmemorativo Kawai Kanjirō	Kawai Kanjirō	C	★人名部分の綴りが当社の英語表記（Kawai Kanjirō's House）と食い違う（Kawai Kanjirō）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
kawai-kanjiro	河井 寛次郎	collection	河井寬次郎記念館	河井寬次郎	館・施設	de	Wohnhaus von Kawai Kanjirō (Gedenkmuseum)	Wohnhaus von Kawai Kanjirō	C	★人名部分の綴りが当社の英語表記（Kawai Kanjirō's House）と食い違う（Wohnhaus von Kawai Kanjirō）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
arakawa-toyozo	荒川 豊蔵	collection	荒川豊蔵資料館	荒川豊蔵	館・施設	en	Arakawa Toyozō Museum	Arakawa Toyozō	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Arakawa/Toyozō）	Wikidata P856→https://www.city.kani.lg.jp/10013.htm（＋言語切替リンク）を取得し全文検索→英名0件
arakawa-toyozo	荒川 豊蔵	collection	荒川豊蔵資料館	荒川豊蔵	館・施設	ko	아라카와 도요조 자료관	아라카와 도요조 자료관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.city.kani.lg.jp/10013.htm（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
arakawa-toyozo	荒川 豊蔵	collection	荒川豊蔵資料館	荒川豊蔵	館・施設	fr	Musée Arakawa Toyozō	Arakawa Toyozō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Arakawa/Toyozō）	公式サイト（https://www.city.kani.lg.jp/10013.htm）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
arakawa-toyozo	荒川 豊蔵	collection	荒川豊蔵資料館	荒川豊蔵	館・施設	es	Museo Arakawa Toyozō	Arakawa Toyozō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Arakawa/Toyozō）	公式サイト（https://www.city.kani.lg.jp/10013.htm）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
arakawa-toyozo	荒川 豊蔵	collection	荒川豊蔵資料館	荒川豊蔵	館・施設	de	Arakawa-Toyozō-Archivmuseum	Arakawa Toyozō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Arakawa/Toyozō）	公式サイト（https://www.city.kani.lg.jp/10013.htm）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kawakita-handeishi	川喜田 半泥子	collection	石水博物館(三重)	川喜田石水（川喜田久太夫政令の号・当方未確認）	館・施設	en	Sekisui Museum (Mie)	Sekisui	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
kawakita-handeishi	川喜田 半泥子	collection	石水博物館(三重)	川喜田石水（川喜田久太夫政令の号・当方未確認）	館・施設	ko	세키스이 박물관(미에)	세키스이 박물관 미에	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
kawakita-handeishi	川喜田 半泥子	collection	石水博物館(三重)	川喜田石水（川喜田久太夫政令の号・当方未確認）	館・施設	fr	Musée Sekisui (Mie)	Sekisui	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	当該人物は掲載作家ではない（社内の照合先なし）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kawakita-handeishi	川喜田 半泥子	collection	石水博物館(三重)	川喜田石水（川喜田久太夫政令の号・当方未確認）	館・施設	es	Museo Sekisui (Mie)	Sekisui	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	当該人物は掲載作家ではない（社内の照合先なし）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kawakita-handeishi	川喜田 半泥子	collection	石水博物館(三重)	川喜田石水（川喜田久太夫政令の号・当方未確認）	館・施設	de	Sekisui-Museum (Mie)	Sekisui	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	当該人物は掲載作家ではない（社内の照合先なし）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
miwa-kyuwa	三輪 休和	collection	山口県立萩美術館・浦上記念館	浦上敏朗	館・施設	en	Hagi Uragami Museum, Yamaguchi Prefecture	Hagi Uragami	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidata P856→https://www.hum.pref.yamaguchi.lg.jp/（＋言語切替リンク）を取得し全文検索→英名0件
miwa-kyuwa	三輪 休和	collection	山口県立萩美術館・浦上記念館	浦上敏朗	館・施設	ko	야마구치현립 하기미술관·우라가미 기념관	야마구치현립 하기미술관 우라가미 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.hum.pref.yamaguchi.lg.jp/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
miwa-kyuwa	三輪 休和	collection	山口県立萩美術館・浦上記念館	浦上敏朗	館・施設	fr	Musée Hagi Uragami, préfecture de Yamaguchi	Hagi Uragami	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	当該人物は掲載作家ではない（社内の照合先なし）	公式サイト（https://www.hum.pref.yamaguchi.lg.jp/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
miwa-kyuwa	三輪 休和	collection	山口県立萩美術館・浦上記念館	浦上敏朗	館・施設	es	Museo Hagi Uragami, prefectura de Yamaguchi	Hagi Uragami	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	当該人物は掲載作家ではない（社内の照合先なし）	公式サイト（https://www.hum.pref.yamaguchi.lg.jp/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
miwa-kyuwa	三輪 休和	collection	山口県立萩美術館・浦上記念館	浦上敏朗	館・施設	de	Hagi-Uragami-Museum, Präfektur Yamaguchi	Hagi Uragami Präfektur	C	★人名部分の綴りが当社の英語表記（Hagi Uragami）と食い違う（Hagi Uragami Präfektur）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
miwa-jusetsu	三輪 壽雪	collection	山口県立萩美術館・浦上記念館	浦上敏朗	館・施設	en	Hagi Uragami Museum, Yamaguchi Prefecture	Hagi Uragami	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidata P856→https://www.hum.pref.yamaguchi.lg.jp/（＋言語切替リンク）を取得し全文検索→英名0件
miwa-jusetsu	三輪 壽雪	collection	山口県立萩美術館・浦上記念館	浦上敏朗	館・施設	ko	야마구치현립 하기미술관·우라가미 기념관	야마구치현립 하기미술관 우라가미 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.hum.pref.yamaguchi.lg.jp/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
miwa-jusetsu	三輪 壽雪	collection	山口県立萩美術館・浦上記念館	浦上敏朗	館・施設	fr	Musée Hagi Uragami, préfecture de Yamaguchi	Hagi Uragami	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	当該人物は掲載作家ではない（社内の照合先なし）	公式サイト（https://www.hum.pref.yamaguchi.lg.jp/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
miwa-jusetsu	三輪 壽雪	collection	山口県立萩美術館・浦上記念館	浦上敏朗	館・施設	es	Museo Hagi Uragami, prefectura de Yamaguchi	Hagi Uragami	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	当該人物は掲載作家ではない（社内の照合先なし）	公式サイト（https://www.hum.pref.yamaguchi.lg.jp/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
miwa-jusetsu	三輪 壽雪	collection	山口県立萩美術館・浦上記念館	浦上敏朗	館・施設	de	Hagi-Uragami-Museum, Präfektur Yamaguchi	Hagi Uragami Präfektur	C	★人名部分の綴りが当社の英語表記（Hagi Uragami）と食い違う（Hagi Uragami Präfektur）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
fujiwara-kei	藤原 啓	collection	藤原啓記念館	藤原啓	館・施設	en	Fujiwara Kei Memorial Museum	Fujiwara Kei	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Fujiwara/Kei）	Wikidataに該当項目／公式サイトURLの登録なし
fujiwara-kei	藤原 啓	collection	藤原啓記念館	藤原啓	館・施設	ko	후지와라 게이 기념관	후지와라 게이 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
fujiwara-kei	藤原 啓	collection	藤原啓記念館	藤原啓	館・施設	fr	Musée mémorial Fujiwara Kei	Fujiwara Kei	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Fujiwara/Kei）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
fujiwara-kei	藤原 啓	collection	藤原啓記念館	藤原啓	館・施設	es	Museo Conmemorativo Fujiwara Kei	Fujiwara Kei	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Fujiwara/Kei）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
fujiwara-kei	藤原 啓	collection	藤原啓記念館	藤原啓	館・施設	de	Fujiwara-Kei-Gedenkmuseum	Fujiwara Kei	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Fujiwara/Kei）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
fujiwara-yu	藤原 雄	collection	藤原啓記念館	藤原啓	館・施設	en	Fujiwara Kei Memorial Museum	Fujiwara Kei	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Fujiwara/Kei）	Wikidataに該当項目／公式サイトURLの登録なし
fujiwara-yu	藤原 雄	collection	藤原啓記念館	藤原啓	館・施設	ko	후지와라 게이 기념관	후지와라 게이 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
fujiwara-yu	藤原 雄	collection	藤原啓記念館	藤原啓	館・施設	fr	Musée commémoratif Fujiwara Kei	Fujiwara Kei	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Fujiwara/Kei）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
fujiwara-yu	藤原 雄	collection	藤原啓記念館	藤原啓	館・施設	es	Museo Conmemorativo Fujiwara Kei	Fujiwara Kei	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Fujiwara/Kei）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
fujiwara-yu	藤原 雄	collection	藤原啓記念館	藤原啓	館・施設	de	Fujiwara-Kei-Gedenkmuseum	Fujiwara Kei	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Fujiwara/Kei）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kondo-yuzo	近藤 悠三	collection	近藤悠三記念館	近藤悠三	館・施設	en	Kondō Yūzō Memorial Museum	Kondō Yūzō	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Kondō/Yūzō）	Wikidataに該当項目／公式サイトURLの登録なし
kondo-yuzo	近藤 悠三	collection	近藤悠三記念館	近藤悠三	館・施設	ko	곤도 유조 기념관	곤도 유조 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
kondo-yuzo	近藤 悠三	collection	近藤悠三記念館	近藤悠三	館・施設	fr	Musée commémoratif Kondō Yūzō	Kondō Yūzō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kondō/Yūzō）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kondo-yuzo	近藤 悠三	collection	近藤悠三記念館	近藤悠三	館・施設	es	Museo Conmemorativo Kondō Yūzō	Kondō Yūzō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kondō/Yūzō）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kondo-yuzo	近藤 悠三	collection	近藤悠三記念館	近藤悠三	館・施設	de	Kondō-Yūzō-Gedenkmuseum	Kondō Yūzō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kondō/Yūzō）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kamoda-shoji	加守田 章二	collection	菊池寛実記念智美術館	菊池寛実・菊池智	館・施設	ko	기쿠치 간지쓰 기념 도모미술관	기쿠치 간지쓰 기념 도모미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.musee-tomo.or.jp/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
yagi-kazuo	八木 一夫	masterworks[0]	ザムザ氏の散歩	グレゴール・ザムザ（文学上の人物）	作品名	romaji	Zamuza-shi no Sanpo	Zamuza-shi no Sanpo	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
yagi-kazuo	八木 一夫	masterworks[0]	ザムザ氏の散歩	グレゴール・ザムザ（文学上の人物）	作品名	en	Mr. Samsa's Walk	Samsa's Walk	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
serizawa-keisuke	芹沢 銈介	collection	静岡市立芹沢銈介美術館	芹沢銈介	館・施設	ko	시즈오카 시립 세리자와 게이스케 미술관	시즈오카 시립 세리자와 게이스케 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.seribi.jp/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
serizawa-keisuke	芹沢 銈介	collection	静岡市立芹沢銈介美術館	芹沢銈介	館・施設	de	Serizawa-Keisuke-Kunstmuseum der Stadt Shizuoka (The Shizuoka City Serizawa Keisuke Art Museum)	Serizawa Keisuke Serizawa Keisuke	C	★人名部分の綴りが当社の英語表記（Serizawa Keisuke）と食い違う（Serizawa Keisuke Serizawa Keisuke）。相違の根拠は確認できない	本人ページのローマ字と一致（Serizawa/Keisuke/Serizawa/Keisuke）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
tatsumura-heizo	龍村 平蔵	collection	龍村美術織物	龍村平蔵	館・施設	en	Tatsumura Textile	Tatsumura	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Tatsumura）	Wikidataに該当項目／公式サイトURLの登録なし
tatsumura-heizo	龍村 平蔵	collection	龍村美術織物	龍村平蔵	館・施設	ko	다쓰무라 미술직물	다쓰무라 미술직물	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
tatsumura-heizo	龍村 平蔵	collection	龍村美術織物	龍村平蔵	館・施設	fr	Tatsumura Textile	Tatsumura	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Tatsumura）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
tatsumura-heizo	龍村 平蔵	collection	龍村美術織物	龍村平蔵	館・施設	es	Tatsumura Textile	Tatsumura	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Tatsumura）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
tatsumura-heizo	龍村 平蔵	collection	龍村美術織物	龍村平蔵	館・施設	de	Tatsumura Textile	Tatsumura	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Tatsumura）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
hirata-goyo	平田 郷陽	masterworks[1]	桜梅の少将	桜梅の少将（当方未特定）	作品名	romaji	Ōbai no Shōshō	Ōbai no Shōshō	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
hirata-goyo	平田 郷陽	masterworks[1]	桜梅の少将	桜梅の少将（当方未特定）	作品名	en	The Young Captain of Cherry and Plum	Young Captain Cherry Plum	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
fujita-kyohei	藤田 喬平	collection	藤田喬平ガラス美術館(宮城)	藤田喬平	館・施設	en	Fujita Kyōhei Glass Art Museum (Miyagi)	Fujita Kyōhei	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Fujita/Kyōhei）	Wikidata P856→https://www.ichinobo.com/museum/（＋言語切替リンク）を取得し全文検索→英名0件
fujita-kyohei	藤田 喬平	collection	藤田喬平ガラス美術館(宮城)	藤田喬平	館・施設	ko	후지타 교헤이 유리미술관(미야기)	후지타 교헤이 유리미술관 미야기	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.ichinobo.com/museum/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
fujita-kyohei	藤田 喬平	collection	藤田喬平ガラス美術館(宮城)	藤田喬平	館・施設	fr	Musée du verre Fujita Kyōhei (Miyagi)	Fujita Kyōhei	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Fujita/Kyōhei）	公式サイト（https://www.ichinobo.com/museum/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
fujita-kyohei	藤田 喬平	collection	藤田喬平ガラス美術館(宮城)	藤田喬平	館・施設	es	Museo del Vidrio Fujita Kyōhei (Miyagi)	Fujita Kyōhei	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Fujita/Kyōhei）	公式サイト（https://www.ichinobo.com/museum/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
fujita-kyohei	藤田 喬平	collection	藤田喬平ガラス美術館(宮城)	藤田喬平	館・施設	de	Fujita-Kyohei-Glaskunstmuseum (Miyagi)	Fujita Kyohei	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Fujita/Kyohei）	公式サイト（https://www.ichinobo.com/museum/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
namikawa-yasuyuki	並河 靖之	collection	並河靖之七宝記念館	並河靖之	館・施設	en	Namikawa Yasuyuki Cloisonné Museum	Namikawa Yasuyuki	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Namikawa/Yasuyuki）	Wikidata P856→http://www8.plala.or.jp/nayspo/（＋言語切替リンク）を取得し全文検索→英名0件
namikawa-yasuyuki	並河 靖之	collection	並河靖之七宝記念館	並河靖之	館・施設	ko	나미카와 야스유키 칠보기념관	나미카와 야스유키 칠보기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://www8.plala.or.jp/nayspo/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
namikawa-yasuyuki	並河 靖之	collection	並河靖之七宝記念館	並河靖之	館・施設	fr	Musée commémoratif du cloisonné Namikawa Yasuyuki	Namikawa Yasuyuki	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Namikawa/Yasuyuki）	公式サイト（http://www8.plala.or.jp/nayspo/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
namikawa-yasuyuki	並河 靖之	collection	並河靖之七宝記念館	並河靖之	館・施設	es	Museo Conmemorativo del Cloisonné Namikawa Yasuyuki	Namikawa Yasuyuki	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Namikawa/Yasuyuki）	公式サイト（http://www8.plala.or.jp/nayspo/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
namikawa-yasuyuki	並河 靖之	collection	並河靖之七宝記念館	並河靖之	館・施設	de	Namikawa-Yasuyuki-Cloisonné-Museum	Namikawa Yasuyuki	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Namikawa/Yasuyuki）	公式サイト（http://www8.plala.or.jp/nayspo/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
ueno-hikoma	上野 彦馬	masterworks[0]	坂本龍馬肖像	坂本龍馬	作品名	romaji	Sakamoto Ryōma Shōzō	Sakamoto Ryōma Shōzō	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
ueno-hikoma	上野 彦馬	masterworks[0]	坂本龍馬肖像	坂本龍馬	作品名	en	Portrait of Sakamoto Ryōma	Portrait Sakamoto Ryōma	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
shimooka-renjo	下岡 蓮杖	masterworks[0]	徳川慶喜肖像	徳川慶喜	作品名	romaji	Tokugawa Yoshinobu Shōzō	Tokugawa Yoshinobu Shōzō	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
shimooka-renjo	下岡 蓮杖	masterworks[0]	徳川慶喜肖像	徳川慶喜	作品名	en	Portrait of Tokugawa Yoshinobu	Portrait Tokugawa Yoshinobu	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
uchida-kuichi	内田 九一	masterworks[0]	明治天皇肖像	明治天皇	作品名	romaji	Meiji Tennō Shōzō	Meiji Tennō Shōzō	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
uchida-kuichi	内田 九一	masterworks[0]	明治天皇肖像	明治天皇	作品名	en	Portrait of the Meiji Emperor	Portrait Meiji Emperor	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
uchida-kuichi	内田 九一	masterworks[1]	岩倉使節団関係写真	岩倉具視	作品名	romaji	Iwakura Shisetsudan Kankei Shashin	Iwakura Shisetsudan Kankei Shashin	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
uchida-kuichi	内田 九一	masterworks[1]	岩倉使節団関係写真	岩倉具視	作品名	en	Photographs Relating to the Iwakura Mission	Photographs Relating Iwakura Mission	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
nojima-yasuzo	野島 康三	masterworks[1]	細川ちか子氏	細川ちか子	作品名	romaji	Hosokawa Chikako-shi	Hosokawa Chikako-shi	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
nojima-yasuzo	野島 康三	masterworks[1]	細川ちか子氏	細川ちか子	作品名	en	Miss Hosokawa Chikako	Miss Hosokawa Chikako	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
